note,type,value,exactMatch,partialMatch,matchValue,typeMatch
,per,Mary Whitall Berenson,,partial,Mary,True
accomodation,loc,I Tatti,,,,False
region,loc,Settignano,exact,,Settignano,False
city,loc,Florence,exact,,Florence,True
biographic,misc,Trip to America,,,,False
,date,September 1930,,,,False
transportation vessel name,misc,R.M.S. Majestic,,,,False
business,org,White Star,exact,,White Star,True
,date,"Wednesday, Sept. 30, 1903",,,,False
city,loc,Liverpool,,,,False
artist-painter,per,Turner,,,,False
artist-painter,per,Whistler,,,,False
country,loc,England,exact,,England,False
,per,Bernhard,,,,False
accomodation,loc,The Reef,exact,,The Reef,False
city,loc,Newport,exact,,Newport,False
state,loc,R.I.,,,,False
,date,"Thursday, Oct. 8, 1903",,,,False
book,misc,The Arabian Nights,exact,,The Arabian Nights,True
artist-writer,per,Mardrus,,,,False
,per,Grace,,,,False
,per,Bond's new wife,,,,False
,per,Edith,,,,False
,per,Bond,,,,False
restaurant,loc,Greek restaurant,,partial,Greek,False
city,loc,New York,exact,,New York,True
art collector,per,Mr. Davis,,,,False
,per,B.B.,,,,False
art collector,per,Davis,,,,False
sculpture,misc,[Egyptian squatting figure],,partial,Egypt,True
,date,3000 B.C.,,,,False
art collector,per,Davis,,,,False
,misc,[limerick],,,,False
country,loc,Liberia,exact,,Liberia,True
religious figure,per,Mother Superior,,,,False
,per,Grace,,,,False
art collector,per,Mr. Davis,,,,False
accomodation,loc,The Reef,exact,,The Reef,False
city,loc,Newport,exact,,Newport,False
,date,"Friday, Oct. 9, 1903",,,,False
country,loc,Spain,exact,,Spain,True
,per,B.B.,,,,False
,per,[Mr. Fearing],,,,False
,per,Mrs. Fearing,,,,False
,per,Terence Bourke,,,,False
art collector,per,Davis,,,,False
accomodation,loc,The Reef,exact,,The Reef,False
city,loc,Newport,exact,,Newport,False
,date,"Saturday, Oct. 10, 1903",,,,False
,per,Mrs. Andrews,,partial,Andrew,True
artist-poet,per,J. Gordon Kugler,,partial,Gordon,True
,misc,The South,,,,False
city,loc,Newport,exact,,Newport,False
,per,Mrs. Davis,,,,False
,per,Mrs. Andrews,,partial,Andrew,True
,per,Sophy Buffum,,,,False
country,loc,Europe,,,,False
,per,Miss Busk,,,,False
accomodation,loc,The Reef,exact,,The Reef,False
city,loc,Newport,exact,,Newport,False
,date,"Sunday, Oct. 11, 1903",,,,False
art collector,per,Mr. Davis,,,,False
?,misc,Egyptian illustrated books,,partial,Egypt,True
art described by region,misc,Italian pictures,,partial,Italian,True
painting,misc,the famous Forgery (Filippino),,,,False
artist-painter,per,Filippino,,,,False
painting,misc,Tricca-Leonardo,,partial,Leonardo,False
artist-painter,per,Leonardo,exact,,Leonardo,True
artist-painter,per,Tricca,,,,False
painting,misc,The little forgery,,,,False
artist-writer,per,Logan,exact,,Logan,False
art collector,per,Mr. Davis,,,,False
cultural,org,Philharmonic orchestra,,partial,orchestra,False
city,loc,Boston,exact,,Boston,True
cultural ,org,a theatrical troupe,,,,False
city,loc,New York,exact,,New York,True
cultural,org,New York Theatre,exact,,New York Theatre,False
public figure,per,Mr. Longyear,,,,False
city,loc,Marquette,exact,,Marquette,False
cultural heritage institution,loc,opera house,,partial,opera,False
religious figure,per,his wife,,,,False
,per,Mr. Coates,,,,False
,per,Mr. Berevin,,,,False
,per,Mr. Taylor,,,,False
,per,Mrs. Winty Chandler,,,,False
art collector,per,Mr. Davis,,,,False
country,loc,Egypt,exact,,Egypt,False
historic,loc,Tomb of Totmes IV,,,,False
historic,per,Totmes IV,,,,False
historic,loc,Tomb of the Queen Hatasu,,,,False
historic,per,Queen Hatasu,,,,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Monday, Oct. 12, 1903",,,,False
landmark,loc,Old Point,,,,False
,per,Grandpa Cope,,partial,Cope,True
,per,Rachel,,,,False
city,loc,Boston,exact,,Boston,True
,per,Miss Sellers,,,,False
,per,The Father,,,,False
,per,The Mother,,,,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Tuesday, Oct. 13, 1903",,,,False
city,loc,Boston,exact,,Boston,True
,per,Rachel,,,,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Wednesday, Oct. 14, 1903",,,,False
landmark,loc,Blue Hill,,,,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Thursday, Oct. 15, 1903",,,,False
city,loc,Cambridge,,,,False
,per,Mrs. Toy,,,,False
scholar,per,Santayana,,,,False
,per,Leslie Hopkinson,,partial,Leslie,True
,per,Mr. Andrew,,partial,Andrew,True
instrument,misc,Orchestrelle,,,,False
,per,Rachel,,,,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
